Turn, EventType, Resource, Amount, Player
54, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
54, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
54, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
54, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
54, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
54, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
54, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
54, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
54, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
54, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
54, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
54, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
56, Industry Established, LOC_RESOURCE_DYES_NAME, 2, CIVILIZATION_NUBIA
58, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
58, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
58, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
58, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
58, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
58, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
57, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
57, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
57, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
57, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
58, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
58, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
58, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
58, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
58, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
58, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COCOA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_COFFEE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_DYES_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_GYPSUM_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_JADE_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_MERCURY_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_PEARLS_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SALT_NAME, 26, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SILK_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SPICES_NAME, 18, Unknown Civ
57, Initial Resources, LOC_RESOURCE_SUGAR_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TEA_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TOBACCO_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WHALES_NAME, 88, Unknown Civ
57, Initial Resources, LOC_RESOURCE_WINE_NAME, 17, Unknown Civ
57, Initial Resources, LOC_RESOURCE_OLIVES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_TURTLES_NAME, 158, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PENGUINS_NAME, 107, Unknown Civ
57, Initial Resources, LOC_RESOURCE_CVS_POMEGRANATES_NAME, 22, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PAPYRUS_NAME, 20, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_MAPLE_NAME, 21, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_OPAL_NAME, 23, Unknown Civ
57, Initial Resources, LOC_RESOURCE_P0K_PLUMS_NAME, 19, Unknown Civ
