,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_AMERICAN_ROUGH_RIDER,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_MAN_AT_ARMS,UNIT_LINE_INFANTRY,UNIT_TREBUCHET,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_VAMPIRE,UNIT_CULTIST,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_PORTUGUESE_NAU,UNIT_TAOIST
UNIT_ROCKET_ARTILLERY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 35.33, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.66, 52.00, 34.33, 52.00, 34.33, 52.00, 35.33, 35.33, 21.00, 42.00, 35.33, 100.00, 35.33, 27.00, 25.00, 20.00, 24.22, 24.22, 26.00, 100.00, 21.00, 13.50, 14.93, 13.53, 11.87, 24.03, 11.87, 12.11, 12.11, 100.00, 18.19, 9.95, 8.01, 9.06, 12.11, 5.88, 7.14, 6.66, 6.00, 4.97, 4.97, 3.25, 3.46, 100.00, 4.24, 4.21, 3.71, 100.00, 1.48, 1.77, 3.96, 2.78, 3.33, 2.78, 2.78, 1.77, 0.83, 0.26, 0.29, 0.36, 131.92, 1.43, 1.95, 0.88, 0.77, 1.22, 0.56, 1.00, 130.61, 0.16, 0.16, 0.67, 0.93, 0.33, 16.59, 4.86, 17.66, 35.33, 5.88, 15.29, 4.97, 17.66, 24.22, 25.00, 27.00, 1.34, 18.19, 6.00, 2.64, 5.00, 11.11, 14.93, 13.21, 52.00, 1.89, 100.00, 9.95, 100.00, 13.50, 14.81, 4.21, 0.05, 100.00, 2.66, 12.95, 4.58, 12.11, 10.34, 24.22, 7.14, 25.00, 7.11, 5.22, 17.66, 35.33, 100.00, 4.97, 17.66, 11.87, 35.33, 12.11, 13.21, 52.00, 100.00, 52.00, 9.06, 100.00
UNIT_MOBILE_SAM, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.01, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.01, 0.01, 0.00, 0.01, 0.00, 0.01, 0.01, 0.01, 0.00, 0.01, 0.01, 100.00, 0.01, 0.01, 0.01, 0.00, 0.01, 0.01, 0.00, 100.00, 0.00, 0.00, 0.01, 0.06, 0.01, 0.01, 0.01, 0.00, 0.00, 100.00, 0.01, 0.01, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.01, 0.02, 0.01, 100.00, 0.01, 0.01, 0.00, 100.00, 7.34, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.01, 7.18, 7.18, 7.26, 1.00, 0.00, 0.01, 0.01, 0.01, 0.00, 0.01, 0.00, 1.00, 6.71, 7.02, 0.00, 0.01, 0.01, 0.01, 0.01, 0.00, 0.01, 0.00, 0.00, 0.01, 0.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.01, 0.01, 0.13, 0.00, 100.00, 0.01, 100.00, 0.00, 0.01, 0.01, 0.01, 100.00, 0.01, 0.01, 0.01, 0.00, 0.01, 0.01, 0.00, 0.01, 0.01, 0.01, 0.00, 0.01, 100.00, 0.01, 0.13, 0.01, 0.13, 0.00, 0.01, 0.01, 100.00, 0.01, 0.01, 100.00
UNIT_JET_FIGHTER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 204.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 204.00, 206.00, 103.00, 204.00, 102.00, 204.00, 104.00, 104.00, 103.00, 206.00, 206.00, 100.00, 206.00, 106.00, 104.00, 102.00, 106.00, 106.00, 53.00, 100.00, 102.00, 53.00, 72.66, 72.66, 70.66, 106.00, 70.66, 53.00, 53.00, 100.00, 72.66, 56.00, 46.00, 54.00, 28.00, 27.00, 35.33, 27.00, 23.00, 35.33, 35.33, 28.00, 31.00, 100.00, 27.00, 35.33, 18.66, 100.00, 12.81, 17.74, 12.09, 0.00, 0.00, 13.11, 13.11, 19.34, 12.12, 2.20, 2.14, 5.59, 2.39, 0.00, 16.14, 0.00, 10.27, 7.31, 7.43, 6.00, 0.00, 1.00, 2.59, 0.00, 8.51, 4.50, 72.66, 39.33, 36.33, 206.00, 26.00, 36.33, 37.33, 52.00, 106.00, 104.00, 106.00, 12.53, 72.66, 23.00, 14.50, 22.00, 52.00, 72.66, 68.66, 204.00, 13.11, 100.00, 56.00, 100.00, 52.00, 68.66, 37.33, 0.00, 100.00, 27.00, 68.66, 35.33, 52.00, 54.00, 106.00, 35.33, 104.00, 46.00, 37.33, 103.00, 206.00, 100.00, 35.33, 52.00, 70.66, 106.00, 53.00, 68.66, 206.00, 100.00, 204.00, 54.00, 100.00
UNIT_JET_BOMBER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 76.66, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 110.00, 114.00, 57.00, 110.00, 55.00, 110.00, 76.66, 76.66, 40.33, 80.66, 80.66, 100.00, 80.66, 64.00, 58.00, 37.33, 54.00, 54.00, 32.00, 100.00, 38.33, 32.00, 42.57, 39.00, 33.00, 54.00, 33.00, 27.00, 27.00, 100.00, 47.33, 35.94, 31.77, 29.98, 18.11, 15.11, 16.50, 15.11, 16.09, 19.73, 19.73, 17.36, 18.63, 100.00, 13.69, 18.00, 12.14, 100.00, 2.42, 8.76, 11.00, 0.00, 0.00, 9.00, 9.00, 10.71, 5.86, 0.63, 0.81, 2.16, 0.40, 0.00, 9.53, 0.00, 4.80, 7.33, 3.82, 6.18, 0.00, 0.38, 1.00, 0.00, 5.14, 2.81, 42.57, 23.50, 23.66, 80.66, 14.11, 19.50, 21.47, 38.33, 54.00, 58.00, 64.00, 7.39, 47.33, 16.09, 10.88, 13.09, 24.00, 42.57, 34.57, 110.00, 9.01, 100.00, 35.94, 100.00, 30.00, 34.57, 19.69, 0.00, 100.00, 12.84, 34.57, 18.37, 25.00, 30.22, 54.00, 16.50, 58.00, 29.00, 21.38, 40.33, 80.66, 100.00, 19.73, 38.33, 33.00, 80.66, 27.00, 34.57, 114.00, 100.00, 110.00, 29.98, 100.00
UNIT_MISSILE_CRUISER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 42.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 102.00, 70.66, 102.00, 68.66, 101.00, 68.66, 42.00, 42.00, 52.00, 54.00, 44.00, 100.00, 44.00, 32.57, 30.57, 51.00, 32.57, 32.57, 18.66, 100.00, 26.00, 35.33, 22.42, 19.99, 18.19, 29.00, 18.19, 27.00, 27.00, 100.00, 26.01, 15.19, 13.69, 13.53, 9.14, 8.14, 10.09, 8.69, 13.11, 7.81, 7.81, 5.88, 6.14, 100.00, 4.09, 6.46, 10.71, 100.00, 51.39, 2.61, 4.65, 2.66, 3.89, 3.46, 3.46, 3.29, 1.83, 9.80, 10.11, 8.36, 133.22, 3.54, 1.91, 0.87, 1.20, 1.44, 0.87, 1.49, 130.61, 7.27, 6.85, 1.00, 1.34, 0.51, 23.27, 8.70, 13.11, 44.00, 7.14, 11.09, 9.22, 34.33, 32.57, 30.57, 32.57, 1.98, 26.01, 13.11, 6.95, 6.88, 26.00, 22.42, 18.68, 68.66, 5.07, 100.00, 15.19, 100.00, 34.33, 19.39, 7.75, 0.06, 100.00, 4.09, 16.74, 7.05, 26.00, 14.93, 32.57, 10.09, 35.33, 11.93, 7.75, 52.00, 44.00, 100.00, 7.81, 21.00, 18.19, 44.00, 27.00, 18.68, 70.66, 100.00, 68.66, 13.53, 100.00
UNIT_MODERN_AT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 40.00, 33.33, 66.66, 33.33, 50.00, 33.33, 33.33, 25.00, 50.00, 40.00, 100.00, 33.33, 22.22, 33.33, 33.33, 20.00, 20.00, 25.00, 100.00, 25.00, 20.00, 13.33, 16.53, 20.00, 28.57, 20.00, 14.29, 14.29, 100.00, 20.00, 9.48, 7.80, 12.50, 11.11, 7.69, 10.00, 9.09, 6.66, 11.23, 11.23, 3.23, 3.24, 100.00, 4.73, 10.23, 4.86, 100.00, 1.13, 1.48, 5.12, 1.59, 2.14, 2.86, 2.86, 2.20, 2.14, 0.23, 0.28, 0.39, 82.58, 1.69, 2.20, 1.00, 2.02, 0.98, 0.67, 1.07, 82.58, 0.12, 0.19, 0.74, 1.00, 1.00, 15.38, 4.79, 16.66, 28.57, 7.69, 14.29, 11.23, 20.00, 20.00, 33.33, 22.22, 1.16, 20.00, 7.14, 3.20, 6.66, 16.66, 13.33, 20.00, 50.00, 2.13, 100.00, 12.50, 100.00, 16.66, 22.22, 10.23, 0.04, 100.00, 7.09, 20.00, 10.98, 14.29, 16.66, 20.00, 10.00, 33.33, 7.09, 7.55, 20.00, 28.57, 100.00, 11.23, 20.00, 20.00, 33.33, 14.29, 20.00, 50.00, 100.00, 40.00, 12.50, 100.00
UNIT_MODERN_ARMOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 40.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 66.66, 33.33, 66.66, 33.33, 66.66, 40.00, 40.00, 33.33, 40.00, 40.00, 100.00, 33.33, 33.33, 33.33, 33.33, 28.57, 28.57, 25.00, 100.00, 33.33, 20.00, 20.00, 25.00, 20.00, 28.57, 20.00, 16.66, 16.66, 100.00, 18.18, 15.38, 13.33, 15.38, 14.29, 9.09, 11.11, 10.00, 7.69, 11.23, 11.23, 6.17, 7.09, 100.00, 7.09, 10.23, 5.88, 100.00, 3.20, 3.24, 6.25, 4.00, 5.00, 4.00, 4.00, 2.18, 2.14, 0.43, 0.54, 0.68, 82.58, 2.86, 3.24, 1.48, 2.02, 1.69, 1.48, 3.04, 82.58, 0.22, 0.35, 1.95, 1.00, 1.00, 22.22, 9.48, 20.00, 40.00, 9.09, 16.66, 11.23, 25.00, 28.57, 33.33, 33.33, 2.52, 18.18, 8.33, 4.54, 7.69, 16.66, 20.00, 20.00, 66.66, 3.74, 100.00, 11.27, 100.00, 20.00, 22.22, 10.23, 0.05, 100.00, 7.09, 20.00, 10.98, 16.66, 16.66, 28.57, 11.11, 40.00, 13.22, 6.79, 25.00, 40.00, 100.00, 11.23, 25.00, 20.00, 50.00, 16.66, 20.00, 66.66, 100.00, 50.00, 15.38, 100.00
UNIT_MAN_AT_ARMS, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.08, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.28, 7.55, 6.66, 7.55, 6.25, 7.55, 3.51, 3.51, 2.27, 7.65, 4.08, 100.00, 6.06, 2.20, 2.20, 1.89, 1.86, 1.86, 1.76, 100.00, 3.46, 1.22, 0.88, 1.61, 0.74, 1.59, 0.74, 0.89, 0.89, 100.00, 1.57, 0.48, 0.39, 0.48, 0.46, 0.33, 0.46, 0.43, 0.23, 0.28, 0.28, 0.15, 0.15, 100.00, 0.15, 0.24, 0.14, 100.00, 0.05, 0.08, 0.13, 0.08, 0.11, 0.08, 0.08, 0.11, 0.07, 0.02, 0.02, 0.03, 82.58, 0.06, 0.08, 0.05, 0.06, 0.04, 0.05, 0.06, 82.58, 0.01, 0.02, 0.04, 0.06, 0.04, 1.00, 0.22, 0.90, 4.08, 0.33, 0.65, 0.28, 1.85, 1.86, 2.20, 1.17, 0.07, 1.57, 0.29, 0.10, 0.23, 0.71, 0.88, 0.88, 9.21, 0.06, 100.00, 0.72, 100.00, 1.55, 1.00, 0.24, 0.01, 100.00, 0.15, 0.79, 0.26, 1.40, 0.59, 1.86, 0.46, 2.30, 0.32, 0.36, 2.08, 4.08, 100.00, 0.28, 2.00, 0.74, 5.15, 0.71, 0.88, 7.55, 100.00, 9.34, 0.48, 100.00
UNIT_LINE_INFANTRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.28, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 20.00, 12.50, 12.50, 5.00, 20.00, 14.28, 100.00, 16.66, 9.34, 9.34, 4.54, 8.65, 8.65, 4.54, 100.00, 9.09, 3.33, 3.88, 6.17, 3.17, 7.27, 3.17, 2.63, 2.63, 100.00, 7.09, 2.20, 1.69, 2.20, 1.66, 1.17, 1.59, 1.48, 0.83, 1.26, 1.26, 0.67, 0.69, 100.00, 0.69, 1.07, 0.65, 100.00, 0.18, 0.31, 0.50, 0.31, 0.43, 0.31, 0.31, 0.46, 0.21, 0.04, 0.05, 0.07, 82.58, 0.20, 0.31, 0.14, 0.19, 0.12, 0.14, 0.20, 82.58, 0.02, 0.04, 0.11, 0.21, 0.10, 4.50, 1.00, 3.08, 14.28, 1.17, 2.22, 1.26, 3.84, 8.65, 9.34, 3.25, 0.24, 7.09, 1.02, 0.45, 0.83, 2.46, 3.88, 3.88, 22.22, 0.25, 100.00, 3.24, 100.00, 5.88, 4.50, 1.07, 0.02, 100.00, 0.69, 3.51, 1.14, 5.26, 2.53, 8.65, 1.59, 10.85, 1.44, 1.57, 4.54, 14.28, 100.00, 1.26, 4.16, 3.17, 15.38, 2.46, 3.88, 20.00, 100.00, 20.00, 2.20, 100.00
UNIT_TREBUCHET, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.86, 6.54, 6.04, 5.59, 4.36, 5.59, 3.61, 3.61, 3.00, 4.68, 3.69, 100.00, 3.69, 2.16, 1.64, 2.05, 1.85, 1.85, 2.61, 100.00, 4.00, 1.47, 0.96, 1.29, 0.55, 1.66, 0.55, 1.05, 1.05, 100.00, 1.14, 0.60, 0.49, 0.51, 0.59, 0.45, 0.66, 0.59, 0.29, 0.21, 0.21, 0.26, 0.28, 100.00, 0.19, 0.18, 0.09, 100.00, 0.07, 0.09, 0.19, 0.12, 0.14, 0.14, 0.14, 0.18, 0.07, 0.04, 0.04, 0.05, 131.92, 0.06, 0.13, 0.08, 0.07, 0.08, 0.06, 0.05, 130.61, 0.03, 0.04, 0.07, 0.06, 0.05, 1.11, 0.32, 1.00, 3.69, 0.35, 0.57, 0.21, 1.26, 1.85, 1.64, 1.09, 0.08, 1.14, 0.16, 0.07, 0.25, 0.52, 0.96, 0.64, 6.12, 0.05, 100.00, 0.60, 100.00, 0.93, 0.76, 0.18, 0.02, 100.00, 0.14, 0.57, 0.20, 0.78, 0.43, 1.85, 0.49, 2.47, 0.45, 0.18, 1.45, 3.69, 100.00, 0.21, 1.97, 0.55, 3.85, 0.52, 0.64, 6.54, 100.00, 7.14, 0.51, 100.00
UNIT_AZTEC_EAGLE_WARRIOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.08, 1.86, 2.47, 1.86, 1.85, 1.86, 0.88, 0.88, 0.74, 1.87, 1.00, 100.00, 1.48, 0.54, 0.54, 0.59, 0.45, 0.45, 0.54, 100.00, 0.84, 0.38, 0.21, 0.39, 0.18, 0.39, 0.18, 0.27, 0.27, 100.00, 0.39, 0.11, 0.09, 0.11, 0.13, 0.09, 0.13, 0.12, 0.07, 0.08, 0.08, 0.06, 0.06, 100.00, 0.06, 0.07, 0.04, 100.00, 0.02, 0.04, 0.04, 0.03, 0.04, 0.03, 0.03, 0.05, 0.03, 0.01, 0.01, 0.02, 82.58, 0.03, 0.04, 0.03, 0.03, 0.02, 0.03, 0.03, 82.58, 0.00, 0.01, 0.02, 0.03, 0.02, 0.24, 0.07, 0.27, 1.00, 0.09, 0.19, 0.08, 0.61, 0.45, 0.54, 0.37, 0.03, 0.39, 0.08, 0.03, 0.07, 0.21, 0.21, 0.21, 2.28, 0.03, 100.00, 0.17, 100.00, 0.39, 0.24, 0.07, 0.01, 100.00, 0.06, 0.19, 0.08, 0.35, 0.14, 0.45, 0.13, 0.59, 0.09, 0.10, 0.69, 1.00, 100.00, 0.08, 0.66, 0.18, 1.28, 0.21, 0.21, 1.86, 100.00, 2.30, 0.11, 100.00
UNIT_INDONESIAN_JONG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 9.64, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 18.19, 21.00, 16.39, 20.00, 16.39, 7.88, 7.88, 15.29, 13.27, 11.08, 100.00, 11.08, 6.12, 5.05, 14.29, 5.20, 5.20, 5.84, 100.00, 7.14, 10.71, 2.60, 3.98, 1.70, 4.50, 1.70, 6.95, 6.95, 100.00, 3.21, 1.63, 1.35, 1.13, 1.44, 1.00, 1.50, 1.32, 1.64, 0.65, 0.65, 0.59, 0.63, 100.00, 0.35, 0.55, 0.73, 100.00, 0.17, 0.19, 0.50, 0.20, 0.31, 0.20, 0.20, 0.38, 0.15, 0.05, 0.07, 0.09, 131.92, 0.23, 0.19, 0.13, 0.15, 0.11, 0.13, 0.17, 130.61, 0.04, 0.07, 0.14, 0.13, 0.11, 3.04, 0.85, 2.86, 11.08, 1.00, 1.50, 0.65, 11.11, 5.20, 5.05, 5.05, 0.18, 3.21, 1.57, 0.48, 0.66, 5.09, 2.60, 1.94, 16.39, 0.34, 100.00, 1.63, 100.00, 8.00, 2.32, 0.55, 0.02, 100.00, 0.35, 1.82, 0.61, 6.15, 1.32, 5.20, 1.50, 5.52, 1.20, 0.55, 12.50, 11.08, 100.00, 0.65, 5.88, 1.70, 10.61, 5.09, 1.94, 18.19, 100.00, 19.10, 1.13, 100.00
UNIT_KHMER_DOMREY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.43, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 19.09, 9.47, 9.09, 8.31, 6.74, 8.31, 5.52, 5.52, 4.20, 6.54, 5.27, 100.00, 5.27, 3.01, 2.39, 2.94, 2.61, 2.61, 3.56, 100.00, 5.72, 2.05, 1.34, 1.77, 0.79, 2.29, 0.79, 1.47, 1.47, 100.00, 1.66, 0.86, 0.68, 0.78, 0.87, 0.66, 1.00, 0.88, 0.38, 0.32, 0.32, 0.34, 0.32, 100.00, 0.23, 0.27, 0.13, 100.00, 0.09, 0.11, 0.23, 0.14, 0.17, 0.17, 0.17, 0.22, 0.09, 0.04, 0.05, 0.06, 131.92, 0.07, 0.15, 0.10, 0.09, 0.09, 0.07, 0.06, 130.61, 0.03, 0.05, 0.09, 0.07, 0.06, 1.52, 0.45, 1.75, 5.27, 0.66, 1.00, 0.32, 1.79, 2.61, 2.39, 1.47, 0.10, 1.66, 0.24, 0.09, 0.35, 0.73, 1.34, 0.95, 9.09, 0.06, 100.00, 0.86, 100.00, 1.36, 1.10, 0.27, 0.02, 100.00, 0.16, 0.86, 0.28, 1.13, 0.64, 2.61, 0.69, 3.61, 0.60, 0.27, 1.99, 5.27, 100.00, 0.32, 2.50, 0.79, 5.64, 0.73, 0.95, 9.47, 100.00, 10.88, 0.78, 100.00
UNIT_POLISH_HUSSAR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.66, 12.50, 16.66, 11.11, 16.66, 11.11, 11.11, 8.33, 10.98, 12.50, 100.00, 8.89, 7.55, 7.55, 7.69, 6.42, 6.42, 8.33, 100.00, 7.69, 5.88, 3.05, 5.31, 2.53, 5.46, 2.53, 4.54, 4.54, 100.00, 2.56, 1.69, 1.35, 1.69, 2.15, 1.52, 2.22, 2.09, 1.02, 1.00, 1.00, 0.54, 0.54, 100.00, 0.54, 0.88, 0.51, 100.00, 0.16, 0.24, 0.54, 0.32, 0.46, 0.32, 0.32, 0.16, 0.16, 0.04, 0.05, 0.07, 82.58, 0.19, 0.24, 0.11, 0.15, 0.11, 0.11, 0.20, 82.58, 0.02, 0.04, 0.11, 0.09, 0.09, 3.51, 0.79, 4.79, 12.50, 1.52, 3.09, 1.00, 7.14, 6.42, 7.55, 7.55, 0.19, 2.56, 1.35, 0.36, 1.02, 3.75, 3.05, 3.05, 18.18, 0.24, 100.00, 1.16, 100.00, 5.26, 3.51, 0.88, 0.01, 100.00, 0.54, 2.78, 0.93, 4.54, 2.05, 6.42, 2.22, 8.65, 1.14, 0.59, 7.69, 12.50, 100.00, 1.00, 7.14, 2.53, 13.33, 3.75, 3.05, 16.66, 100.00, 12.73, 1.69, 100.00
UNIT_NUBIAN_PITATI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.13, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.58, 2.80, 3.66, 2.09, 2.36, 2.09, 0.66, 0.66, 1.86, 1.99, 1.65, 100.00, 1.65, 0.98, 0.60, 1.07, 0.86, 0.86, 1.52, 100.00, 0.56, 0.95, 0.48, 0.76, 0.22, 0.75, 0.22, 0.70, 0.70, 100.00, 0.57, 0.36, 0.32, 0.13, 0.42, 0.09, 0.10, 0.10, 0.28, 0.14, 0.14, 0.22, 0.20, 100.00, 0.07, 0.13, 0.09, 100.00, 0.05, 0.07, 0.18, 0.04, 0.05, 0.04, 0.04, 0.14, 0.05, 0.02, 0.03, 0.04, 131.92, 0.06, 0.05, 0.03, 0.05, 0.02, 0.05, 0.05, 130.61, 0.02, 0.02, 0.03, 0.05, 0.04, 0.54, 0.26, 0.79, 1.65, 0.09, 0.55, 0.14, 1.00, 0.86, 0.60, 0.60, 0.07, 0.57, 0.17, 0.08, 0.07, 0.34, 0.48, 0.24, 2.38, 0.06, 100.00, 0.36, 100.00, 0.49, 0.28, 0.13, 0.02, 100.00, 0.10, 0.23, 0.13, 0.40, 0.19, 0.86, 0.10, 0.46, 0.30, 0.13, 1.17, 1.65, 100.00, 0.14, 0.56, 0.22, 3.66, 0.34, 0.24, 2.80, 100.00, 2.66, 0.13, 100.00
